"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","81","86","6","40.193024","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","60","66","2","24.100500","0","0"
"Globals","0","2715","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","36","38","1","14.140682","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","879","904","1","303.548920","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","148","148","1","85.740784","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","20","20","1","4.149140","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","10","1","3.048609","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","49","51","1","23.694632","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","10","10","1","4.202409","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","15","15","1","7.217557","0","0"
"/Engine/Tutorial/SubEditors/TutorialAssets/M_smoke_subUV_blackbody.M_smoke_subUV_blackbody","0","26","26","1","10.458024","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","1.353642","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","10","10","1","3.745018","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","573","623","1","152.106766","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","27","27","1","13.834599","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","10","10","1","4.057423","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","128","128","1","72.786400","0","0"
"/Engine/Tutorial/SubEditors/TutorialAssets/TutorialMaterial.TutorialMaterial","0","15","15","1","8.048621","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","6","1","5.565028","0","0"
"/OculusVR/Materials/OculusMR_WhiteMaterial.OculusMR_WhiteMaterial","0","10","10","1","3.050894","0","0"
